project_id,project_name,program_group,project_start_date,project_completion_date,extended_affordability_status,prevailing_wage_status,extremely_low_income_units,very_low_income,low_income_units,moderate_income,middle_income,other,counted_rental_units,counted_homeownership_units,all_counted_units,total_units,senior_units,planned_tax_benefit
61021,316 EAST 91ST STREET,Multifamily Incentives Program,2016-10-26T00:00:00.000,2019-05-08T00:00:00.000,No,Non Prevailing Wage,0,0,17,0,0,0,17,0,17,18,0,Article XI
61029,CARIBE GDNS,Multifamily Incentives Program,2016-05-25T00:00:00.000,2016-05-25T00:00:00.000,Yes,Non Prevailing Wage,0,120,0,0,0,1,121,0,121,121,0,Article V
61037,CONFIDENTIAL,Confidential,2016-04-29T00:00:00.000,2016-08-05T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,1,
61121,CONFIDENTIAL,Confidential,2016-06-22T00:00:00.000,2016-06-22T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
61186,CATHOLIC CHARITIES. 879 BECK STREET,Multifamily Finance Program,2017-12-27T00:00:00.000,2021-01-04T00:00:00.000,No,Prevailing Wage,88,0,0,0,0,1,89,0,89,89,88,420c
61232,CONFIDENTIAL,Confidential,2016-05-12T00:00:00.000,2016-05-12T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
61235,CONFIDENTIAL,Confidential,2016-05-31T00:00:00.000,2016-05-31T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
61240,CONFIDENTIAL,Confidential,2016-05-10T00:00:00.000,2016-05-10T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
61243,CONFIDENTIAL,Confidential,2016-05-06T00:00:00.000,2016-05-06T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
61245,CONFIDENTIAL,Confidential,2016-05-25T00:00:00.000,2016-05-25T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
61255,CONFIDENTIAL,Confidential,2016-05-05T00:00:00.000,2016-05-05T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
61261,CONFIDENTIAL,Confidential,2016-05-09T00:00:00.000,2016-05-09T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
61263,CONFIDENTIAL,Confidential,2016-05-10T00:00:00.000,2016-05-10T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
61271,DOE. 555 NEREID AVE. MULLER,Multifamily Finance Program,2019-03-28T00:00:00.000,2021-07-09T00:00:00.000,No,Non Prevailing Wage,54,0,35,0,0,1,90,0,90,90,0,420c
61290,ICL. 50 NEVINS STREET,Multifamily Finance Program,2019-03-26T00:00:00.000,2022-04-13T00:00:00.000,No,Non Prevailing Wage,78,0,50,0,0,1,129,0,129,129,0,420c
61297,WILFRID ABCO,Multifamily Finance Program,2017-06-28T00:00:00.000,2021-02-17T00:00:00.000,No,Non Prevailing Wage,40,17,126,6,0,1,190,0,190,190,0,420c
61357,600 EAST 156TH STREET,Multifamily Finance Program,2017-12-28T00:00:00.000,2022-04-07T00:00:00.000,No,Non Prevailing Wage,35,52,87,0,0,1,175,0,175,175,0,Article XI
61375,Sons of Italy Apartments,Multifamily Finance Program,2016-06-20T00:00:00.000,2016-11-21T00:00:00.000,No,Non Prevailing Wage,104,1,0,0,0,1,106,0,106,106,105,420c
61376,435 East 13th Street Apartments,Multifamily Incentives Program,2016-01-27T00:00:00.000,2020-08-28T00:00:00.000,No,Non Prevailing Wage,0,0,23,0,0,0,23,0,23,114,0,421a
61380,Rutland Road Houses,Multifamily Incentives Program,2016-01-28T00:00:00.000,,No,Prevailing Wage,0,0,402,0,0,2,404,0,404,438,0,421a
61388,ESSEX CROSSING - SITE 4,Multifamily Finance Program,2017-12-29T00:00:00.000,2020-09-02T00:00:00.000,No,Non Prevailing Wage,0,10,43,33,35,0,121,0,121,263,0,421a
61405,THE GILBERT,Multifamily Finance Program,2017-04-05T00:00:00.000,2020-06-22T00:00:00.000,No,Non Prevailing Wage,16,38,49,19,30,1,153,0,153,153,0,
61418,Surf 21 Harborview (20160249),Multifamily Incentives Program,2016-06-24T00:00:00.000,,No,Prevailing Wage,0,0,189,33,0,2,224,0,224,224,0,Article II
61419,Target V (HDC),Multifamily Finance Program,2016-06-17T00:00:00.000,2016-06-17T00:00:00.000,Yes,Non Prevailing Wage,0,0,82,0,0,0,82,0,82,82,0,421a
61420,Grace Towers (HDC),Multifamily Finance Program,2016-06-17T00:00:00.000,2016-06-17T00:00:00.000,Yes,Non Prevailing Wage,0,0,168,0,0,0,168,0,168,168,0,421a
61435,SOUTH BROOKLYN RENEWAL PERMANENT AFFORDABILITY,Multifamily Incentives Program,2016-06-24T00:00:00.000,2016-06-24T00:00:00.000,Yes,Non Prevailing Wage,0,0,28,0,0,0,28,0,28,28,0,
61444,CONFIDENTIAL,Confidential,2016-06-15T00:00:00.000,2016-06-15T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
61446,CONFIDENTIAL,Confidential,2016-06-14T00:00:00.000,2016-06-14T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
61452,CONFIDENTIAL,Confidential,2016-06-17T00:00:00.000,2016-06-17T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
61457,CONFIDENTIAL,Confidential,2016-06-10T00:00:00.000,2016-06-10T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
61459,CONFIDENTIAL,Confidential,2016-06-16T00:00:00.000,2016-06-16T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
61461,CONFIDENTIAL,Confidential,2016-06-07T00:00:00.000,2016-06-07T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
61463,CONFIDENTIAL,Confidential,2016-06-06T00:00:00.000,2016-06-06T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
61465,CONFIDENTIAL,Confidential,2016-06-17T00:00:00.000,2016-06-17T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
61481,CONFIDENTIAL,Confidential,2016-06-27T00:00:00.000,2016-06-27T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
61485,CONFIDENTIAL,Confidential,2016-06-29T00:00:00.000,2016-07-27T00:00:00.000,No,Non Prevailing Wage,0,0,0,2,0,0,0,2,2,2,0,
61491,CONFIDENTIAL,Confidential,2016-06-29T00:00:00.000,2016-08-02T00:00:00.000,No,Non Prevailing Wage,2,0,0,0,0,0,0,2,2,2,0,
61504,CONFIDENTIAL,Confidential,2016-06-30T00:00:00.000,2016-06-30T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
61509,CONFIDENTIAL,Confidential,2016-06-30T00:00:00.000,2016-06-30T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
61522,CONFIDENTIAL,Confidential,2016-06-30T00:00:00.000,2016-08-02T00:00:00.000,No,Non Prevailing Wage,0,1,0,0,0,0,0,1,1,1,0,
61528,CONFIDENTIAL,Confidential,2016-06-30T00:00:00.000,2016-07-08T00:00:00.000,No,Non Prevailing Wage,0,0,0,1,0,0,0,1,1,1,0,
61571,255 E HOUSTON,Multifamily Incentives Program,2017-12-19T00:00:00.000,2021-11-24T00:00:00.000,No,Non Prevailing Wage,0,9,9,0,5,0,23,0,23,88,0,421a
61575,HARRY T. NANCE APARTMENTS,Multifamily Finance Program,2018-04-27T00:00:00.000,2023-06-08T00:00:00.000,No,Non Prevailing Wage,17,15,34,0,0,1,67,0,67,67,0,420c
61587,601 WEST 148TH STREET PROJECT,Multifamily Finance Program,2019-07-02T00:00:00.000,2022-05-31T00:00:00.000,No,Non Prevailing Wage,0,0,0,20,0,0,0,20,20,20,0,Article XI
61593,NOTRE DAME HDFC.HUDMF.FY18,Multifamily Finance Program,2017-09-29T00:00:00.000,2019-02-19T00:00:00.000,No,Non Prevailing Wage,94,3,0,0,0,1,98,0,98,98,98,Article XI
61608,RAVEN HALL TOWER,Multifamily Finance Program,2018-10-25T00:00:00.000,2022-12-15T00:00:00.000,No,Non Prevailing Wage,0,22,193,0,0,1,216,0,216,216,0,420c
61609,CONFIDENTIAL,Confidential,2017-06-28T00:00:00.000,2019-10-15T00:00:00.000,No,Non Prevailing Wage,23,0,18,0,0,1,42,0,42,42,0,420c
61610,569 PROSPECT,Small Homes Program,2017-06-27T00:00:00.000,,No,Non Prevailing Wage,0,0,16,28,0,1,45,0,45,45,0,Article XI
61611,CONCOURSE VILLAGE WEST,Multifamily Finance Program,2017-06-28T00:00:00.000,,No,Non Prevailing Wage,23,26,103,111,0,2,265,0,265,265,0,Article XI
61612,EBENEZER PLAZA PHASE 1A,Multifamily Finance Program,2018-06-22T00:00:00.000,2022-07-21T00:00:00.000,No,Non Prevailing Wage,40,40,116,0,0,1,197,0,197,197,0,420c
61622,CONFIDENTIAL,Confidential,2016-06-24T00:00:00.000,2016-10-21T00:00:00.000,No,Non Prevailing Wage,0,2,0,0,0,0,0,2,2,2,0,
61623,CONFIDENTIAL,Confidential,2016-06-28T00:00:00.000,2017-01-23T00:00:00.000,No,Non Prevailing Wage,0,0,0,1,0,0,0,1,1,1,0,
61625,JERICHO RESIDENCE V HDFC.YR15.FY18,Multifamily Finance Program,2018-06-27T00:00:00.000,,No,Prevailing Wage,49,3,0,0,0,0,52,0,52,52,0,420c
61627,GIBBMANSIONHDFC.YR15.FY2017,Multifamily Finance Program,2017-06-08T00:00:00.000,2017-06-08T00:00:00.000,Yes,Non Prevailing Wage,58,12,1,0,0,1,72,0,72,72,0,420c
61628,JHB II HDFC.YR15.FY18,Multifamily Finance Program,2017-12-18T00:00:00.000,2017-12-18T00:00:00.000,Yes,Non Prevailing Wage,43,1,0,0,0,1,45,0,45,45,0,420c
61629,PENCER HOUSE HDFC.YR15.FY24,Multifamily Finance Program,2023-09-12T00:00:00.000,,No,Non Prevailing Wage,40,0,0,0,0,0,40,0,40,40,15,420c
61630,HARLEM COMMUNITY INITIATIVE HDFC.YR15.FY18,Multifamily Finance Program,2018-04-25T00:00:00.000,2018-04-25T00:00:00.000,Yes,Non Prevailing Wage,0,1,33,0,0,1,35,0,35,35,0,420c
61639,FULTON JEFFERSON HDFC.YR15.FY18,Multifamily Finance Program,2017-12-07T00:00:00.000,,No,Non Prevailing Wage,17,82,7,0,0,1,107,0,107,107,0,420c
61641,CASA PASIVA LLC.YR15.FY19,Multifamily Finance Program,2019-06-20T00:00:00.000,2022-10-31T00:00:00.000,No,Non Prevailing Wage,20,81,42,0,0,3,146,0,146,146,36,420c
61655,123 HOPE STREET,Multifamily Incentives Program,2017-02-02T00:00:00.000,2020-03-12T00:00:00.000,No,Non Prevailing Wage,0,0,25,16,0,0,41,0,41,136,0,421a
61660,ECDO TRANSFERS TO NYC JOE,Multifamily Finance Program,2016-07-01T00:00:00.000,2016-07-01T00:00:00.000,Yes,Non Prevailing Wage,0,101,102,0,18,0,221,0,221,221,0,
61678,PARK HAVEN,Multifamily Finance Program,2019-06-25T00:00:00.000,2023-05-17T00:00:00.000,No,Non Prevailing Wage,67,34,76,0,0,1,178,0,178,178,0,420c
61701,CITILEAF HDFC,Multifamily Finance Program,2017-06-29T00:00:00.000,2021-03-24T00:00:00.000,No,Non Prevailing Wage,45,4,1,0,0,0,50,0,50,50,0,
61713,845 GRAND ST,Multifamily Incentives Program,2016-12-09T00:00:00.000,2017-11-16T00:00:00.000,No,Non Prevailing Wage,0,0,8,0,0,0,8,0,8,40,0,421a
61721,CONFIDENTIAL,Confidential,2016-07-26T00:00:00.000,2016-07-26T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
61722,CONFIDENTIAL,Confidential,2016-07-20T00:00:00.000,2016-07-20T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
61723,CONFIDENTIAL,Confidential,2016-07-20T00:00:00.000,2016-07-20T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
61724,CONFIDENTIAL,Confidential,2016-07-08T00:00:00.000,2016-07-08T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
61728,BFC. 140 ESSEX ST. ESSEX CROSSING SITE 8,Multifamily Finance Program,2017-11-01T00:00:00.000,2019-12-11T00:00:00.000,No,Non Prevailing Wage,28,34,30,0,0,1,93,0,93,93,92,421a
61736,"RIVERSIDE CENTER, BUILDING 4",Multifamily Incentives Program,2016-11-16T00:00:00.000,2019-10-29T00:00:00.000,No,Non Prevailing Wage,0,0,49,0,0,0,49,0,49,214,0,421a
61738,"RIVERSIDE CENTER, BUILDING 1",Multifamily Incentives Program,2016-11-16T00:00:00.000,2019-10-29T00:00:00.000,No,Non Prevailing Wage,0,0,156,0,0,0,156,0,156,646,0,421a
61740,HELP. 771-775 CROTONA PARK NORTH,Multifamily Finance Program,2017-11-15T00:00:00.000,2020-12-16T00:00:00.000,No,Prevailing Wage,83,0,0,0,0,1,84,0,84,84,83,420c
61741,"RIVERSIDE CENTER, BUILDING 3",Multifamily Incentives Program,2016-11-16T00:00:00.000,2019-10-29T00:00:00.000,No,Non Prevailing Wage,0,0,64,0,0,0,64,0,64,272,0,421a
61765,1761 WALTON AVENUE,Multifamily Finance Program,2022-04-06T00:00:00.000,,No,Non Prevailing Wage,26,25,51,0,0,1,103,0,103,103,0,420c
61799,SECOND FARMS,Multifamily Finance Program,2018-06-27T00:00:00.000,2022-03-31T00:00:00.000,No,Non Prevailing Wage,75,86,157,0,0,1,319,0,319,319,0,420c
61802,101 SOUTH 3RD ST (LOS SURES PHASE 1),Multifamily Incentives Program,2017-06-27T00:00:00.000,2018-11-20T00:00:00.000,No,Non Prevailing Wage,0,0,34,0,0,0,34,0,34,35,0,420c
61837,9 FORT WASHINGTON AVENUE CLUSTER,Multifamily Finance Program,2018-06-25T00:00:00.000,2018-06-19T00:00:00.000,No,Non Prevailing Wage,0,0,0,44,0,0,0,44,44,44,0,Article XI
61840,LENOX AVENUE CLUSTER (ANCP),Multifamily Finance Program,2019-12-03T00:00:00.000,2024-04-27T00:00:00.000,No,Non Prevailing Wage,0,0,0,55,0,0,0,55,55,55,0,Article XI
61841,WSFSSH.570 EAST 137TH STREET.MILLBROOK TERRACE,Multifamily Finance Program,2017-06-29T00:00:00.000,2019-12-30T00:00:00.000,No,Prevailing Wage,158,0,0,0,0,1,159,0,159,159,158,420c
61842,BFC. 118 ST EDWARDS STREET. INGERSOLL SENIOR RESIDENCES,Multifamily Finance Program,2017-06-28T00:00:00.000,2020-01-27T00:00:00.000,No,Prevailing Wage,145,0,0,0,0,1,146,0,146,146,145,420c
61847,KINGSBRIDGEARMSINC.HRP.FY17,Multifamily Finance Program,2017-06-28T00:00:00.000,,No,Non Prevailing Wage,0,89,14,0,0,1,0,104,104,104,0,
61848,HIGHLAWN TERRACE INC. (LOAN II),Multifamily Finance Program,2017-06-29T00:00:00.000,2019-06-24T00:00:00.000,No,Non Prevailing Wage,8,116,0,0,0,1,0,125,125,125,0,
61849,TRACEY TOWERS.HRP.FY18,Multifamily Finance Program,2017-12-20T00:00:00.000,2019-08-14T00:00:00.000,No,Non Prevailing Wage,0,0,861,9,0,1,871,0,871,871,0,
61875,1199 HOUSING CORP.PLP.FY19,Multifamily Finance Program,2019-06-28T00:00:00.000,2024-05-10T00:00:00.000,No,Non Prevailing Wage,277,1315,0,0,0,2,0,1594,1594,1594,0,J-51 Enriched
61877,464-68 W 51 ST HDFC.GHPP.FY19,Multifamily Finance Program,2019-01-23T00:00:00.000,2023-07-24T00:00:00.000,No,Non Prevailing Wage,10,0,1,0,0,0,0,11,11,11,0,Article XI
61898,CONFIDENTIAL,Confidential,2016-07-06T00:00:00.000,2016-07-06T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
61901,CONFIDENTIAL,Confidential,2016-07-07T00:00:00.000,2016-07-07T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
61902,810 FULTON STREET,Multifamily Incentives Program,2017-03-28T00:00:00.000,2019-09-12T00:00:00.000,No,Non Prevailing Wage,0,0,73,0,0,0,73,0,73,363,0,421a
61903,1193 FULTON AVENUE,Small Homes Program,2017-07-27T00:00:00.000,2020-05-29T00:00:00.000,No,Non Prevailing Wage,0,8,16,0,0,1,25,0,25,25,0,420c
61931,HUNTERS POINT SOUTH PARCEL C -NORTH TOWER,Multifamily Finance Program,2018-12-26T00:00:00.000,2021-11-29T00:00:00.000,No,Non Prevailing Wage,0,160,0,90,284,1,535,0,535,800,100,Article XI
61933,CONFIDENTIAL,Confidential,2016-07-13T00:00:00.000,2016-07-13T00:00:00.000,No,Non Prevailing Wage,0,1,0,0,0,0,0,1,1,1,0,
61935,CONFIDENTIAL,Confidential,2016-07-22T00:00:00.000,2016-07-22T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
61937,CONFIDENTIAL,Confidential,2016-07-29T00:00:00.000,2016-07-29T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
61944,CONFIDENTIAL,Confidential,2016-07-25T00:00:00.000,2016-08-11T00:00:00.000,No,Non Prevailing Wage,0,0,0,1,0,0,0,1,1,1,0,
61967,ACACIA. 128 EAST 112TH ST. VIRGINIA HOUSE,Multifamily Finance Program,2018-12-05T00:00:00.000,,No,Prevailing Wage,56,0,0,0,0,1,57,0,57,57,56,420c
62057,32-34 PUTNAM AVENUE CLUSTER PHASE I,Multifamily Finance Program,2019-12-05T00:00:00.000,2023-04-13T00:00:00.000,No,Non Prevailing Wage,0,0,0,18,0,0,5,13,18,18,5,Article XI
62102,VAN DYKE III,Multifamily Finance Program,2018-12-26T00:00:00.000,2021-06-28T00:00:00.000,No,Non Prevailing Wage,18,36,125,0,0,1,180,0,180,180,0,
62109,CATON FLATS,Multifamily Finance Program,2018-12-26T00:00:00.000,2023-11-09T00:00:00.000,No,Non Prevailing Wage,0,27,37,63,127,1,255,0,255,255,0,Article XI
62162,CONFIDENTIAL,Confidential,2016-08-26T00:00:00.000,2017-01-12T00:00:00.000,No,Non Prevailing Wage,0,0,0,1,0,0,0,1,1,1,0,
62163,AMELIA VALENTI.HRP.FY18,Multifamily Finance Program,2018-05-10T00:00:00.000,,No,Non Prevailing Wage,0,0,6,0,0,0,6,0,6,6,0,J-51
62178,CONFIDENTIAL,Confidential,2016-08-30T00:00:00.000,2016-10-14T00:00:00.000,No,Non Prevailing Wage,0,0,0,3,0,0,0,3,3,3,1,
62191,NORTH COVE,Multifamily Finance Program,2023-01-27T00:00:00.000,,No,Non Prevailing Wage,155,122,152,180,0,2,611,0,611,611,0,420c
62193,ATLANTIC CHESTNUT - LOT 1,Multifamily Finance Program,2021-06-25T00:00:00.000,,No,Non Prevailing Wage,101,101,200,0,0,1,403,0,403,403,0,420c
62194,ATLANTIC CHESTNUT - LOT 2,Multifamily Finance Program,2022-12-15T00:00:00.000,,No,Non Prevailing Wage,109,109,217,0,0,1,436,0,436,436,0,420c
62203,CCM. 404 SNEDIKER AVE. BEVERLY'S PLACE,Multifamily Finance Program,2017-11-20T00:00:00.000,2020-01-17T00:00:00.000,No,Non Prevailing Wage,43,0,28,0,0,1,72,0,72,72,0,420c
62204,256 MARTENSE STREET.GHPP.FY18,Multifamily Finance Program,2017-08-03T00:00:00.000,2019-05-31T00:00:00.000,No,Non Prevailing Wage,0,2,4,0,0,0,6,0,6,6,0,J-51
62208,1906-08AMETHYSTCONSTRUCTIONCORP.HRP.FY18,Multifamily Finance Program,2018-05-10T00:00:00.000,,No,Non Prevailing Wage,0,0,11,0,0,0,11,0,11,11,0,J-51
62209,ADEE TOWER APARTMENTS INC.HRP.FY18,Multifamily Finance Program,2018-06-11T00:00:00.000,2020-08-20T00:00:00.000,No,Non Prevailing Wage,247,45,0,0,0,0,0,292,292,292,0,J-51 Enriched
62210,CEDAR MANOR MUTUAL HOUSING CORP.HRP.FY18,Multifamily Finance Program,2018-06-21T00:00:00.000,,No,Non Prevailing Wage,65,150,0,0,0,1,0,216,216,216,0,J-51 Enriched
62211,THE GRAND,Multifamily Finance Program,2017-09-28T00:00:00.000,2022-07-20T00:00:00.000,No,Non Prevailing Wage,8,19,108,0,0,3,138,0,138,138,0,420c
62227,LAMBERT HOUSES BUILDING 3A,Multifamily Finance Program,2017-06-28T00:00:00.000,2022-05-19T00:00:00.000,No,Non Prevailing Wage,113,0,49,0,0,1,163,0,163,163,0,420c
62229,LAMBERT REDEVELOPMENT-BUILDING 5AB,Multifamily Finance Program,2021-12-22T00:00:00.000,,No,Non Prevailing Wage,278,0,0,0,0,1,279,0,279,279,0,420c
62241,PARK AND ELTON APARTMENTS,Small Homes Program,2018-12-14T00:00:00.000,2021-08-30T00:00:00.000,No,Non Prevailing Wage,9,4,7,17,0,1,38,0,38,38,0,Article XI
62246,CONFIDENTIAL,Confidential,2016-08-03T00:00:00.000,2016-08-03T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
62256,CONFIDENTIAL,Confidential,2016-06-07T00:00:00.000,2016-09-01T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,1,
62266,1130 SHEVA REALTY HDFC.HPO.FY17,Multifamily Finance Program,2017-06-21T00:00:00.000,2017-06-21T00:00:00.000,Yes,Non Prevailing Wage,1,6,35,0,0,1,43,0,43,43,0,Article XI
62267,424 SHEVA REALTY HDFC.HPO.FY17,Multifamily Finance Program,2017-06-21T00:00:00.000,2017-06-21T00:00:00.000,Yes,Non Prevailing Wage,0,15,40,0,0,1,56,0,56,56,0,Article XI
62268,830 SHEVA REALTY HDFC.HPO.FY17,Multifamily Finance Program,2017-06-21T00:00:00.000,2017-06-21T00:00:00.000,Yes,Non Prevailing Wage,0,7,63,0,0,1,71,0,71,71,0,Article XI
62269,1240 SHEVA REALTY HDFC.HPO.FY17,Multifamily Finance Program,2017-06-21T00:00:00.000,2017-06-21T00:00:00.000,Yes,Non Prevailing Wage,0,26,130,0,0,1,157,0,157,157,0,Article XI
62270,288 SHEVA REALTY HDFC.HPO.FY17,Multifamily Finance Program,2017-06-21T00:00:00.000,2017-06-21T00:00:00.000,Yes,Non Prevailing Wage,0,5,22,0,0,1,28,0,28,28,0,Article XI
62271,795 SHEVA REALTY HDFC.HPO.FY17,Multifamily Finance Program,2017-06-21T00:00:00.000,2017-06-21T00:00:00.000,Yes,Non Prevailing Wage,0,6,47,3,0,1,57,0,57,57,0,Article XI
62287,CONFIDENTIAL,Confidential,2016-09-29T00:00:00.000,2016-11-21T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,1,
62289,CAMBA. 210-214 HEGEMAN AVE,Multifamily Finance Program,2018-01-22T00:00:00.000,2020-09-30T00:00:00.000,No,Non Prevailing Wage,50,4,16,0,0,1,71,0,71,71,0,420c
62299,DUNN. 82-41 PARSONS BLVD. T BUILDING,Multifamily Finance Program,2019-06-28T00:00:00.000,2021-12-17T00:00:00.000,No,Non Prevailing Wage,75,0,124,0,0,1,200,0,200,200,0,
62303,NEW HULL STREET HDFC.YR15.FY17,Multifamily Finance Program,2017-04-26T00:00:00.000,2017-04-26T00:00:00.000,Yes,Non Prevailing Wage,0,26,6,0,0,1,33,0,33,33,0,420c
62962,CRESTON PARKVIEW,Multifamily Finance Program,2017-12-28T00:00:00.000,2020-02-28T00:00:00.000,No,Non Prevailing Wage,19,38,112,19,0,1,189,0,189,189,0,Article XI
62973,CONFIDENTIAL,Confidential,2016-09-01T00:00:00.000,2016-09-01T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
62974,CONFIDENTIAL,Confidential,2016-09-06T00:00:00.000,2016-09-06T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
62976,CONFIDENTIAL,Confidential,2016-09-08T00:00:00.000,2016-09-08T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
62978,CONFIDENTIAL,Confidential,2016-09-09T00:00:00.000,2016-09-09T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
62981,CONFIDENTIAL,Confidential,2016-09-09T00:00:00.000,2016-09-09T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
62982,CONFIDENTIAL,Confidential,2016-09-12T00:00:00.000,2016-09-12T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
62983,CONFIDENTIAL,Confidential,2016-09-15T00:00:00.000,2016-09-15T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
62984,CONFIDENTIAL,Confidential,2016-09-16T00:00:00.000,2016-09-16T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
62985,CONFIDENTIAL,Confidential,2016-09-21T00:00:00.000,2016-09-21T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
62986,CONFIDENTIAL,Confidential,2016-09-23T00:00:00.000,2016-09-23T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
